"nombre","apellidos","dniNie","telefono","birthDate","courseName"
"Sofía","Alonso Castro","20099991S","620000333","2009-04-08","1ESO-1"
"Daniel","Castro Cruz","20199982W","620000666","2010-07-15","1ESO-2"
"Paula","Ortega Navarro","20299973N","620000999","2011-10-22","1ESO-3"
"Adrián","Pérez Ortega","20399964E","620001332","2012-01-01","1ESO-4"
"Lucía","Torres Romero","20499955D","620001665","2009-04-08","2ESO-1"
"Hugo","Herrera Serrano","20599946L","620001998","2010-07-15","2ESO-2"
"Mía","Delgado Pérez","20699937Y","620002331","2011-10-22","2ESO-3"
"Marcos","Fernández Blanco","20799928Q","620002664","2012-01-01","2ESO-4"
"Valeria","Ruiz Mora","20899919A","620002997","2009-04-08","3ESO-1"
"Óscar","Cabrera Torres","20999910J","620003330","2010-07-15","3ESO-2"
"Sara","Martínez Fuentes","21099901T","620003663","2011-10-22","3ESO-3"
"Alejandro","Álvarez Díaz","21199892X","620003996","2012-01-01","3ESO-4"
"Emma","Suárez Herrera","21299883C","620004329","2009-04-08","4ESO-1"
"Martín","Vázquez Sánchez","21399874F","620004662","2010-07-15","4ESO-2"
"Claudia","González Molina","21499865V","620004995","2011-10-22","4ESO-3"
"Sergio","Navarro Delgado","21599856G","620005328","2012-01-01","4ESO-4"
"Noa","Serrano Jiménez","21699847Z","620005661","2009-04-08","1BACH-1"
"Diego","Mora Flores","21799838R","620005994","2010-07-15","1BACH-2"
"Alba","Díaz Fernández","21899829B","620006327","2011-10-22","1BACH-3"
"Iván","Molina Vargas","21999820K","620006660","2012-01-01","2BACH-1"
"Irene","Flores López","22099811P","620006993","2009-04-08","2BACH-2"
"Rafael","López Ruiz","22199802H","620007326","2010-07-15","2BACH-3"
"Leire","Gutiérrez Reyes","22299793M","620007659","2011-10-22","1ESO-1"
"Rubén","Ramos Gutiérrez","22399784S","620007992","2012-01-01","1ESO-2"
"Marina","Muñoz Cabrera","22499775W","620008325","2009-04-08","1ESO-3"
"Gonzalo","Rodríguez Gómez","22599766N","620008658","2010-07-15","1ESO-4"
"Carla","Domínguez Ramos","22699757E","620008991","2011-10-22","2ESO-1"
"Raúl","Medina Martínez","22799748D","620009324","2012-01-01","2ESO-2"
"Inés","Cruz Moreno","22899739L","620009657","2009-04-08","2ESO-3"
"Alberto","Romero Muñoz","22999730Y","620009990","2010-07-15","2ESO-4"
"Sofía","Blanco Álvarez","23099721Q","620010323","2011-10-22","3ESO-1"
"Daniel","Fuentes Santos","23199712A","620010656","2012-01-01","3ESO-2"
"Paula","Sánchez Rodríguez","23299703J","620010989","2009-04-08","3ESO-3"
"Adrián","Jiménez Suárez","23399694T","620011322","2010-07-15","3ESO-4"
"Lucía","Vargas García","23499685X","620011655","2011-10-22","4ESO-1"
"Hugo","Reyes Domínguez","23599676C","620011988","2012-01-01","4ESO-2"
"Mía","Gómez Vázquez","23699667F","620012321","2009-04-08","4ESO-3"
"Marcos","Moreno Alonso","23799658V","620012654","2010-07-15","4ESO-4"
"Valeria","Santos Medina","23899649G","620012987","2011-10-22","1BACH-1"
"Óscar","García González","23999640Z","620013320","2012-01-01","1BACH-2"
"Sara","Alonso Castro","24099631R","620013653","2009-04-08","1BACH-3"
"Alejandro","Castro Cruz","24199622B","620013986","2010-07-15","2BACH-1"
"Emma","Ortega Navarro","24299613K","620014319","2011-10-22","2BACH-2"
"Martín","Pérez Ortega","24399604P","620014652","2012-01-01","2BACH-3"
"Claudia","Torres Romero","24499595H","620014985","2009-04-08","1ESO-1"
"Sergio","Herrera Serrano","24599586M","620015318","2010-07-15","1ESO-2"
"Noa","Delgado Pérez","24699577S","620015651","2011-10-22","1ESO-3"
"Diego","Fernández Blanco","24799568W","620015984","2012-01-01","1ESO-4"
"Alba","Ruiz Mora","24899559N","620016317","2009-04-08","2ESO-1"
"Iván","Cabrera Torres","24999550E","620016650","2010-07-15","2ESO-2"
"Irene","Martínez Fuentes","25099541D","620016983","2011-10-22","2ESO-3"
"Rafael","Álvarez Díaz","25199532L","620017316","2012-01-01","2ESO-4"
"Leire","Suárez Herrera","25299523Y","620017649","2009-04-08","3ESO-1"
"Rubén","Vázquez Sánchez","25399514Q","620017982","2010-07-15","3ESO-2"
"Marina","González Molina","25499505A","620018315","2011-10-22","3ESO-3"
"Gonzalo","Navarro Delgado","25599496J","620018648","2012-01-01","3ESO-4"
"Carla","Serrano Jiménez","25699487T","620018981","2009-04-08","4ESO-1"
"Raúl","Mora Flores","25799478X","620019314","2010-07-15","4ESO-2"
"Inés","Díaz Fernández","25899469C","620019647","2011-10-22","4ESO-3"
"Alberto","Molina Vargas","25999460F","620019980","2012-01-01","4ESO-4"
"Sofía","Flores López","26099451V","620020313","2009-04-08","1BACH-1"
"Daniel","López Ruiz","26199442G","620020646","2010-07-15","1BACH-2"
"Paula","Gutiérrez Reyes","26299433Z","620020979","2011-10-22","1BACH-3"
"Adrián","Ramos Gutiérrez","26399424R","620021312","2012-01-01","2BACH-1"
"Lucía","Muñoz Cabrera","26499415B","620021645","2009-04-08","2BACH-2"
"Hugo","Rodríguez Gómez","26599406K","620021978","2010-07-15","2BACH-3"
"Mía","Domínguez Ramos","26699397P","620022311","2011-10-22","1ESO-1"
"Marcos","Medina Martínez","26799388H","620022644","2012-01-01","1ESO-2"
"Valeria","Cruz Moreno","26899379M","620022977","2009-04-08","1ESO-3"
"Óscar","Romero Muñoz","26999370S","620023310","2010-07-15","1ESO-4"
"Sara","Blanco Álvarez","27099361W","620023643","2011-10-22","2ESO-1"
"Alejandro","Fuentes Santos","27199352N","620023976","2012-01-01","2ESO-2"
"Emma","Sánchez Rodríguez","27299343E","620024309","2009-04-08","2ESO-3"
"Martín","Jiménez Suárez","27399334D","620024642","2010-07-15","2ESO-4"
"Claudia","Vargas García","27499325L","620024975","2011-10-22","3ESO-1"
"Sergio","Reyes Domínguez","27599316Y","620025308","2012-01-01","3ESO-2"
"Noa","Gómez Vázquez","27699307Q","620025641","2009-04-08","3ESO-3"
"Diego","Moreno Alonso","27799298A","620025974","2010-07-15","3ESO-4"
"Alba","Santos Medina","27899289J","620026307","2011-10-22","4ESO-1"
"Iván","García González","27999280T","620026640","2012-01-01","4ESO-2"
"Irene","Alonso Castro","28099271X","620026973","2009-04-08","4ESO-3"
"Rafael","Castro Cruz","28199262C","620027306","2010-07-15","4ESO-4"
"Leire","Ortega Navarro","28299253F","620027639","2011-10-22","1BACH-1"
"Rubén","Pérez Ortega","28399244V","620027972","2012-01-01","1BACH-2"
"Marina","Torres Romero","28499235G","620028305","2009-04-08","1BACH-3"
"Gonzalo","Herrera Serrano","28599226Z","620028638","2010-07-15","2BACH-1"
"Carla","Delgado Pérez","28699217R","620028971","2011-10-22","2BACH-2"
"Raúl","Fernández Blanco","28799208B","620029304","2012-01-01","2BACH-3"
"Inés","Ruiz Mora","28899199K","620029637","2009-04-08","1ESO-1"
"Alberto","Cabrera Torres","28999190P","620029970","2010-07-15","1ESO-2"
"Sofía","Martínez Fuentes","29099181H","620030303","2011-10-22","1ESO-3"
"Daniel","Álvarez Díaz","29199172M","620030636","2012-01-01","1ESO-4"
"Paula","Suárez Herrera","29299163S","620030969","2009-04-08","2ESO-1"
"Adrián","Vázquez Sánchez","29399154W","620031302","2010-07-15","2ESO-2"
"Lucía","González Molina","29499145N","620031635","2011-10-22","2ESO-3"
"Hugo","Navarro Delgado","29599136E","620031968","2012-01-01","2ESO-4"
"Mía","Serrano Jiménez","29699127D","620032301","2009-04-08","3ESO-1"
"Marcos","Mora Flores","29799118L","620032634","2010-07-15","3ESO-2"
"Valeria","Díaz Fernández","29899109Y","620032967","2011-10-22","3ESO-3"
"Óscar","Molina Vargas","29999100Q","620033300","2012-01-01","3ESO-4"
"Sara","Flores López","30099091A","620033633","2009-04-08","4ESO-1"
"Alejandro","López Ruiz","30199082J","620033966","2010-07-15","4ESO-2"
"Emma","Gutiérrez Reyes","30299073T","620034299","2011-10-22","4ESO-3"
"Martín","Ramos Gutiérrez","30399064X","620034632","2012-01-01","4ESO-4"
"Claudia","Muñoz Cabrera","30499055C","620034965","2009-04-08","1BACH-1"
"Sergio","Rodríguez Gómez","30599046F","620035298","2010-07-15","1BACH-2"
"Noa","Domínguez Ramos","30699037V","620035631","2011-10-22","1BACH-3"
"Diego","Medina Martínez","30799028G","620035964","2012-01-01","2BACH-1"
"Alba","Cruz Moreno","30899019Z","620036297","2009-04-08","2BACH-2"
"Iván","Romero Muñoz","30999010R","620036630","2010-07-15","2BACH-3"
"Irene","Blanco Álvarez","31099001B","620036963","2011-10-22","1ESO-1"
"Rafael","Fuentes Santos","31198992K","620037296","2012-01-01","1ESO-2"
"Leire","Sánchez Rodríguez","31298983P","620037629","2009-04-08","1ESO-3"
"Rubén","Jiménez Suárez","31398974H","620037962","2010-07-15","1ESO-4"
"Marina","Vargas García","31498965M","620038295","2011-10-22","2ESO-1"
"Gonzalo","Reyes Domínguez","31598956S","620038628","2012-01-01","2ESO-2"
"Carla","Gómez Vázquez","31698947W","620038961","2009-04-08","2ESO-3"
"Raúl","Moreno Alonso","31798938N","620039294","2010-07-15","2ESO-4"
"Inés","Santos Medina","31898929E","620039627","2011-10-22","3ESO-1"
"Alberto","García González","31998920D","620039960","2012-01-01","3ESO-2"
"Sofía","Alonso Castro","32098911L","620040293","2009-04-08","3ESO-3"
"Daniel","Castro Cruz","32198902Y","620040626","2010-07-15","3ESO-4"
"Paula","Ortega Navarro","32298893Q","620040959","2011-10-22","4ESO-1"
"Adrián","Pérez Ortega","32398884A","620041292","2012-01-01","4ESO-2"
"Lucía","Torres Romero","32498875J","620041625","2009-04-08","4ESO-3"
"Hugo","Herrera Serrano","32598866T","620041958","2010-07-15","4ESO-4"
"Mía","Delgado Pérez","32698857X","620042291","2011-10-22","1BACH-1"
"Marcos","Fernández Blanco","32798848C","620042624","2012-01-01","1BACH-2"
"Valeria","Ruiz Mora","32898839F","620042957","2009-04-08","1BACH-3"
"Óscar","Cabrera Torres","32998830V","620043290","2010-07-15","2BACH-1"
"Sara","Martínez Fuentes","33098821G","620043623","2011-10-22","2BACH-2"
"Alejandro","Álvarez Díaz","33198812Z","620043956","2012-01-01","2BACH-3"
"Emma","Suárez Herrera","33298803R","620044289","2009-04-08","1ESO-1"
"Martín","Vázquez Sánchez","33398794B","620044622","2010-07-15","1ESO-2"
"Claudia","González Molina","33498785K","620044955","2011-10-22","1ESO-3"
"Sergio","Navarro Delgado","33598776P","620045288","2012-01-01","1ESO-4"
