"profesorCorreo","asignaturaNombre","cursoNombre"
"antonio-gomez-navarro@profesor.juego-02","Matematicas","1ESO-1"
"maria-jimenez-santos@profesor.juego-02","Lengua","1ESO-1"
"jose-blanco-lopez@profesor.juego-02","Ingles","1ESO-1"
"carmen-medina-torres@profesor.juego-02","Fisica","1ESO-1"
"manuel-munoz-medina@profesor.juego-02","Historia","1ESO-1"
"ana-lopez-martinez@profesor.juego-02","Tecnologia","1ESO-1"
"francisco-diaz-jimenez@profesor.juego-02","Matematicas","1ESO-2"
"laura-navarro-serrano@profesor.juego-02","Lengua","1ESO-2"
"david-suarez-garcia@profesor.juego-02","Ingles","1ESO-2"
"elena-cabrera-gutierrez@profesor.juego-02","Fisica","1ESO-2"
"pedro-delgado-herrera@profesor.juego-02","Historia","1ESO-2"
"isabel-perez-cruz@profesor.juego-02","Tecnologia","1ESO-2"
"javier-alonso-alvarez@profesor.juego-02","Matematicas","1ESO-3"
"lucia-moreno-vargas@profesor.juego-02","Lengua","1ESO-3"
"miguel-vargas-mora@profesor.juego-02","Ingles","1ESO-3"
"rosa-fuentes-alonso@profesor.juego-02","Fisica","1ESO-3"
"carlos-cruz-ramos@profesor.juego-02","Historia","1ESO-3"
"marta-rodriguez-delgado@profesor.juego-02","Tecnologia","1ESO-3"
"alvaro-gutierrez-romero@profesor.juego-02","Matematicas","1ESO-4"
"beatriz-molina-suarez@profesor.juego-02","Lengua","1ESO-4"
"alejandro-serrano-reyes@profesor.juego-02","Ingles","1ESO-4"
"nuria-vazquez-diaz@profesor.juego-02","Fisica","1ESO-4"
"roberto-martinez-castro@profesor.juego-02","Historia","1ESO-4"
"sandra-fernandez-munoz@profesor.juego-02","Tecnologia","1ESO-4"
"pablo-torres-fernandez@profesor.juego-02","Matematicas","2ESO-1"
"cristina-castro-blanco@profesor.juego-02","Lengua","2ESO-1"
"fernando-santos-vazquez@profesor.juego-02","Ingles","2ESO-1"
"patricia-reyes-gomez@profesor.juego-02","Fisica","2ESO-1"
"andres-sanchez-molina@profesor.juego-02","Historia","2ESO-1"
"pilar-romero-ortega@profesor.juego-02","Tecnologia","2ESO-1"
"antonio-dominguez-rodriguez@profesor.juego-02","Matematicas","2ESO-2"
"maria-ramos-ruiz@profesor.juego-02","Lengua","2ESO-2"
"jose-flores-fuentes@profesor.juego-02","Ingles","2ESO-2"
"carmen-mora-gonzalez@profesor.juego-02","Fisica","2ESO-2"
"manuel-gonzalez-moreno@profesor.juego-02","Historia","2ESO-2"
"ana-alvarez-flores@profesor.juego-02","Tecnologia","2ESO-2"
