"estudianteCorreo","asignaturaNombre","cursoNombre"
"sofia-alonso-castro@alumno.juego-02","Matematicas","1ESO-1"
"sofia-alonso-castro@alumno.juego-02","Lengua","1ESO-1"
"sofia-alonso-castro@alumno.juego-02","Ingles","1ESO-1"
"sofia-alonso-castro@alumno.juego-02","Fisica","1ESO-1"
"sofia-alonso-castro@alumno.juego-02","Historia","1ESO-1"
"sofia-alonso-castro@alumno.juego-02","Tecnologia","1ESO-1"
"daniel-castro-cruz@alumno.juego-02","Matematicas","1ESO-2"
"daniel-castro-cruz@alumno.juego-02","Lengua","1ESO-2"
"daniel-castro-cruz@alumno.juego-02","Ingles","1ESO-2"
"daniel-castro-cruz@alumno.juego-02","Fisica","1ESO-2"
"daniel-castro-cruz@alumno.juego-02","Historia","1ESO-2"
"daniel-castro-cruz@alumno.juego-02","Tecnologia","1ESO-2"
"paula-ortega-navarro@alumno.juego-02","Matematicas","1ESO-3"
"paula-ortega-navarro@alumno.juego-02","Lengua","1ESO-3"
"paula-ortega-navarro@alumno.juego-02","Ingles","1ESO-3"
"paula-ortega-navarro@alumno.juego-02","Fisica","1ESO-3"
"paula-ortega-navarro@alumno.juego-02","Historia","1ESO-3"
"paula-ortega-navarro@alumno.juego-02","Tecnologia","1ESO-3"
"adrian-perez-ortega@alumno.juego-02","Matematicas","1ESO-4"
"adrian-perez-ortega@alumno.juego-02","Lengua","1ESO-4"
"adrian-perez-ortega@alumno.juego-02","Ingles","1ESO-4"
"adrian-perez-ortega@alumno.juego-02","Fisica","1ESO-4"
"adrian-perez-ortega@alumno.juego-02","Historia","1ESO-4"
"adrian-perez-ortega@alumno.juego-02","Tecnologia","1ESO-4"
"lucia-torres-romero@alumno.juego-02","Matematicas","2ESO-1"
"lucia-torres-romero@alumno.juego-02","Lengua","2ESO-1"
"lucia-torres-romero@alumno.juego-02","Ingles","2ESO-1"
"lucia-torres-romero@alumno.juego-02","Fisica","2ESO-1"
"lucia-torres-romero@alumno.juego-02","Historia","2ESO-1"
"lucia-torres-romero@alumno.juego-02","Tecnologia","2ESO-1"
"hugo-herrera-serrano@alumno.juego-02","Matematicas","2ESO-2"
"hugo-herrera-serrano@alumno.juego-02","Lengua","2ESO-2"
"hugo-herrera-serrano@alumno.juego-02","Ingles","2ESO-2"
"hugo-herrera-serrano@alumno.juego-02","Fisica","2ESO-2"
"hugo-herrera-serrano@alumno.juego-02","Historia","2ESO-2"
"hugo-herrera-serrano@alumno.juego-02","Tecnologia","2ESO-2"
"mia-delgado-perez@alumno.juego-02","Matematicas","2ESO-3"
"mia-delgado-perez@alumno.juego-02","Lengua","2ESO-3"
"mia-delgado-perez@alumno.juego-02","Ingles","2ESO-3"
"mia-delgado-perez@alumno.juego-02","Fisica","2ESO-3"
"mia-delgado-perez@alumno.juego-02","Historia","2ESO-3"
"mia-delgado-perez@alumno.juego-02","Tecnologia","2ESO-3"
"marcos-fernandez-blanco@alumno.juego-02","Matematicas","2ESO-4"
"marcos-fernandez-blanco@alumno.juego-02","Lengua","2ESO-4"
"marcos-fernandez-blanco@alumno.juego-02","Ingles","2ESO-4"
"marcos-fernandez-blanco@alumno.juego-02","Fisica","2ESO-4"
"marcos-fernandez-blanco@alumno.juego-02","Historia","2ESO-4"
"marcos-fernandez-blanco@alumno.juego-02","Tecnologia","2ESO-4"
"valeria-ruiz-mora@alumno.juego-02","Matematicas","3ESO-1"
"valeria-ruiz-mora@alumno.juego-02","Lengua","3ESO-1"
"valeria-ruiz-mora@alumno.juego-02","Ingles","3ESO-1"
"valeria-ruiz-mora@alumno.juego-02","Fisica","3ESO-1"
"valeria-ruiz-mora@alumno.juego-02","Historia","3ESO-1"
"valeria-ruiz-mora@alumno.juego-02","Tecnologia","3ESO-1"
"oscar-cabrera-torres@alumno.juego-02","Matematicas","3ESO-2"
"oscar-cabrera-torres@alumno.juego-02","Lengua","3ESO-2"
"oscar-cabrera-torres@alumno.juego-02","Ingles","3ESO-2"
"oscar-cabrera-torres@alumno.juego-02","Fisica","3ESO-2"
"oscar-cabrera-torres@alumno.juego-02","Historia","3ESO-2"
"oscar-cabrera-torres@alumno.juego-02","Tecnologia","3ESO-2"
"sara-martinez-fuentes@alumno.juego-02","Matematicas","3ESO-3"
"sara-martinez-fuentes@alumno.juego-02","Lengua","3ESO-3"
"sara-martinez-fuentes@alumno.juego-02","Ingles","3ESO-3"
"sara-martinez-fuentes@alumno.juego-02","Fisica","3ESO-3"
"sara-martinez-fuentes@alumno.juego-02","Historia","3ESO-3"
"sara-martinez-fuentes@alumno.juego-02","Tecnologia","3ESO-3"
"alejandro-alvarez-diaz@alumno.juego-02","Matematicas","3ESO-4"
"alejandro-alvarez-diaz@alumno.juego-02","Lengua","3ESO-4"
"alejandro-alvarez-diaz@alumno.juego-02","Ingles","3ESO-4"
"alejandro-alvarez-diaz@alumno.juego-02","Fisica","3ESO-4"
"alejandro-alvarez-diaz@alumno.juego-02","Historia","3ESO-4"
"alejandro-alvarez-diaz@alumno.juego-02","Tecnologia","3ESO-4"
"emma-suarez-herrera@alumno.juego-02","Matematicas","4ESO-1"
"emma-suarez-herrera@alumno.juego-02","Lengua","4ESO-1"
"emma-suarez-herrera@alumno.juego-02","Ingles","4ESO-1"
"emma-suarez-herrera@alumno.juego-02","Fisica","4ESO-1"
"emma-suarez-herrera@alumno.juego-02","Historia","4ESO-1"
"emma-suarez-herrera@alumno.juego-02","Tecnologia","4ESO-1"
"martin-vazquez-sanchez@alumno.juego-02","Matematicas","4ESO-2"
"martin-vazquez-sanchez@alumno.juego-02","Lengua","4ESO-2"
"martin-vazquez-sanchez@alumno.juego-02","Ingles","4ESO-2"
"martin-vazquez-sanchez@alumno.juego-02","Fisica","4ESO-2"
"martin-vazquez-sanchez@alumno.juego-02","Historia","4ESO-2"
"martin-vazquez-sanchez@alumno.juego-02","Tecnologia","4ESO-2"
"claudia-gonzalez-molina@alumno.juego-02","Matematicas","4ESO-3"
"claudia-gonzalez-molina@alumno.juego-02","Lengua","4ESO-3"
"claudia-gonzalez-molina@alumno.juego-02","Ingles","4ESO-3"
"claudia-gonzalez-molina@alumno.juego-02","Fisica","4ESO-3"
"claudia-gonzalez-molina@alumno.juego-02","Historia","4ESO-3"
"claudia-gonzalez-molina@alumno.juego-02","Tecnologia","4ESO-3"
"sergio-navarro-delgado@alumno.juego-02","Matematicas","4ESO-4"
"sergio-navarro-delgado@alumno.juego-02","Lengua","4ESO-4"
"sergio-navarro-delgado@alumno.juego-02","Ingles","4ESO-4"
"sergio-navarro-delgado@alumno.juego-02","Fisica","4ESO-4"
"sergio-navarro-delgado@alumno.juego-02","Historia","4ESO-4"
"sergio-navarro-delgado@alumno.juego-02","Tecnologia","4ESO-4"
"noa-serrano-jimenez@alumno.juego-02","Matematicas","1BACH-1"
"noa-serrano-jimenez@alumno.juego-02","Lengua","1BACH-1"
"noa-serrano-jimenez@alumno.juego-02","Ingles","1BACH-1"
"noa-serrano-jimenez@alumno.juego-02","Fisica","1BACH-1"
"noa-serrano-jimenez@alumno.juego-02","Historia","1BACH-1"
"noa-serrano-jimenez@alumno.juego-02","Tecnologia","1BACH-1"
"diego-mora-flores@alumno.juego-02","Matematicas","1BACH-2"
"diego-mora-flores@alumno.juego-02","Lengua","1BACH-2"
"diego-mora-flores@alumno.juego-02","Ingles","1BACH-2"
"diego-mora-flores@alumno.juego-02","Fisica","1BACH-2"
"diego-mora-flores@alumno.juego-02","Historia","1BACH-2"
"diego-mora-flores@alumno.juego-02","Tecnologia","1BACH-2"
"alba-diaz-fernandez@alumno.juego-02","Matematicas","1BACH-3"
"alba-diaz-fernandez@alumno.juego-02","Lengua","1BACH-3"
"alba-diaz-fernandez@alumno.juego-02","Ingles","1BACH-3"
"alba-diaz-fernandez@alumno.juego-02","Fisica","1BACH-3"
"alba-diaz-fernandez@alumno.juego-02","Historia","1BACH-3"
"alba-diaz-fernandez@alumno.juego-02","Tecnologia","1BACH-3"
"ivan-molina-vargas@alumno.juego-02","Matematicas","2BACH-1"
"ivan-molina-vargas@alumno.juego-02","Lengua","2BACH-1"
"ivan-molina-vargas@alumno.juego-02","Ingles","2BACH-1"
"ivan-molina-vargas@alumno.juego-02","Fisica","2BACH-1"
"ivan-molina-vargas@alumno.juego-02","Historia","2BACH-1"
"ivan-molina-vargas@alumno.juego-02","Tecnologia","2BACH-1"
"irene-flores-lopez@alumno.juego-02","Matematicas","2BACH-2"
"irene-flores-lopez@alumno.juego-02","Lengua","2BACH-2"
"irene-flores-lopez@alumno.juego-02","Ingles","2BACH-2"
"irene-flores-lopez@alumno.juego-02","Fisica","2BACH-2"
"irene-flores-lopez@alumno.juego-02","Historia","2BACH-2"
"irene-flores-lopez@alumno.juego-02","Tecnologia","2BACH-2"
"rafael-lopez-ruiz@alumno.juego-02","Matematicas","2BACH-3"
"rafael-lopez-ruiz@alumno.juego-02","Lengua","2BACH-3"
"rafael-lopez-ruiz@alumno.juego-02","Ingles","2BACH-3"
"rafael-lopez-ruiz@alumno.juego-02","Fisica","2BACH-3"
"rafael-lopez-ruiz@alumno.juego-02","Historia","2BACH-3"
"rafael-lopez-ruiz@alumno.juego-02","Tecnologia","2BACH-3"
"leire-gutierrez-reyes@alumno.juego-02","Matematicas","1ESO-1"
"leire-gutierrez-reyes@alumno.juego-02","Lengua","1ESO-1"
"leire-gutierrez-reyes@alumno.juego-02","Ingles","1ESO-1"
"leire-gutierrez-reyes@alumno.juego-02","Fisica","1ESO-1"
"leire-gutierrez-reyes@alumno.juego-02","Historia","1ESO-1"
"leire-gutierrez-reyes@alumno.juego-02","Tecnologia","1ESO-1"
"ruben-ramos-gutierrez@alumno.juego-02","Matematicas","1ESO-2"
"ruben-ramos-gutierrez@alumno.juego-02","Lengua","1ESO-2"
"ruben-ramos-gutierrez@alumno.juego-02","Ingles","1ESO-2"
"ruben-ramos-gutierrez@alumno.juego-02","Fisica","1ESO-2"
"ruben-ramos-gutierrez@alumno.juego-02","Historia","1ESO-2"
"ruben-ramos-gutierrez@alumno.juego-02","Tecnologia","1ESO-2"
"marina-munoz-cabrera@alumno.juego-02","Matematicas","1ESO-3"
"marina-munoz-cabrera@alumno.juego-02","Lengua","1ESO-3"
