"profesorCorreo","estudianteCorreo","asignaturaNombre","cursoNombre","trimestre","tareaNombre","valor"
"antonio-gomez-navarro@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Matematicas","1ESO-1","1","Evaluacion T1","7.44"
"antonio-gomez-navarro@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Matematicas","1ESO-1","2","Evaluacion T2","7.00"
"antonio-gomez-navarro@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Matematicas","1ESO-1","3","Evaluacion T3","3.44"
"maria-jimenez-santos@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Lengua","1ESO-1","1","Evaluacion T1","6.23"
"maria-jimenez-santos@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Lengua","1ESO-1","2","Evaluacion T2","8.17"
"maria-jimenez-santos@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Lengua","1ESO-1","3","Evaluacion T3","7.80"
"jose-blanco-lopez@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Ingles","1ESO-1","1","Evaluacion T1","9.10"
"jose-blanco-lopez@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Ingles","1ESO-1","2","Evaluacion T2","3.80"
"jose-blanco-lopez@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Ingles","1ESO-1","3","Evaluacion T3","7.00"
"carmen-medina-torres@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Fisica","1ESO-1","1","Evaluacion T1","9.02"
"carmen-medina-torres@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Fisica","1ESO-1","2","Evaluacion T2","5.86"
"carmen-medina-torres@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Fisica","1ESO-1","3","Evaluacion T3","4.65"
"manuel-munoz-medina@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Historia","1ESO-1","1","Evaluacion T1","5.70"
"manuel-munoz-medina@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Historia","1ESO-1","2","Evaluacion T2","6.71"
"manuel-munoz-medina@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Historia","1ESO-1","3","Evaluacion T3","7.20"
"ana-lopez-martinez@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Tecnologia","1ESO-1","1","Evaluacion T1","10.00"
"ana-lopez-martinez@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Tecnologia","1ESO-1","2","Evaluacion T2","9.78"
"ana-lopez-martinez@profesor.juego-02","sofia-alonso-castro@alumno.juego-02","Tecnologia","1ESO-1","3","Evaluacion T3","3.52"
"francisco-diaz-jimenez@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Matematicas","1ESO-2","1","Evaluacion T1","9.66"
"francisco-diaz-jimenez@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Matematicas","1ESO-2","2","Evaluacion T2","10.00"
"francisco-diaz-jimenez@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Matematicas","1ESO-2","3","Evaluacion T3","7.44"
"laura-navarro-serrano@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Lengua","1ESO-2","1","Evaluacion T1","4.61"
