"nombre","apellidos","dniNie","telefono","especialidad"
"Antonio","Gómez Navarro","10099999D","610000777","Matemáticas"
"María","Jiménez Santos","10199998G","610001554","Lengua Castellana"
"José","Blanco López","10299997E","610002331","Inglés"
"Carmen","Medina Torres","10399996V","610003108","Historia"
"Manuel","Muñoz Medina","10499995N","610003885","Ciencias Naturales"
"Ana","López Martínez","10599994F","610004662","Física y Química"
"Francisco","Díaz Jiménez","10699993W","610005439","Educación Física"
"Laura","Navarro Serrano","10799992C","610006216","Arte"
"David","Suárez García","10899991S","610006993","Música"
"Elena","Cabrera Gutiérrez","10999990X","610007770","Tecnología"
"Pedro","Delgado Herrera","11099989M","610008547","Geografía"
"Isabel","Pérez Cruz","11199988T","610009324","Filosofía"
"Javier","Alonso Álvarez","11299987H","610010101","Biología"
"Lucía","Moreno Vargas","11399986J","610010878","Química"
"Miguel","Vargas Mora","11499985P","610011655","Economía"
"Rosa","Fuentes Alonso","11599984A","610012432","Matemáticas"
"Carlos","Cruz Ramos","11699983K","610013209","Lengua Castellana"
"Marta","Rodríguez Delgado","11799982Q","610013986","Inglés"
"Álvaro","Gutiérrez Romero","11899981B","610014763","Historia"
"Beatriz","Molina Suárez","11999980Y","610015540","Ciencias Naturales"
"Alejandro","Serrano Reyes","12099979R","610016317","Física y Química"
"Nuria","Vázquez Díaz","12199978L","610017094","Educación Física"
"Roberto","Martínez Castro","12299977Z","610017871","Arte"
"Sandra","Fernández Muñoz","12399976D","610018648","Música"
"Pablo","Torres Fernández","12499975G","610019425","Tecnología"
"Cristina","Castro Blanco","12599974E","610020202","Geografía"
"Fernando","Santos Vázquez","12699973V","610020979","Filosofía"
"Patricia","Reyes Gómez","12799972N","610021756","Biología"
"Andrés","Sánchez Molina","12899971F","610022533","Química"
"Pilar","Romero Ortega","12999970W","610023310","Economía"
"Antonio","Domínguez Rodríguez","13099969C","610024087","Matemáticas"
"María","Ramos Ruiz","13199968S","610024864","Lengua Castellana"
"José","Flores Fuentes","13299967X","610025641","Inglés"
"Carmen","Mora González","13399966M","610026418","Historia"
"Manuel","González Moreno","13499965T","610027195","Ciencias Naturales"
"Ana","Álvarez Flores","13599964H","610027972","Física y Química"
"Francisco","Ruiz Pérez","13699963J","610028749","Educación Física"
"Laura","Herrera Domínguez","13799962P","610029526","Arte"
"David","Ortega Cabrera","13899961A","610030303","Música"
"Elena","García Sánchez","13999960K","610031080","Tecnología"
"Pedro","Gómez Navarro","14099959Q","610031857","Geografía"
"Isabel","Jiménez Santos","14199958B","610032634","Filosofía"
"Javier","Blanco López","14299957Y","610033411","Biología"
"Lucía","Medina Torres","14399956R","610034188","Química"
"Miguel","Muñoz Medina","14499955L","610034965","Economía"
"Rosa","López Martínez","14599954Z","610035742","Matemáticas"
"Carlos","Díaz Jiménez","14699953D","610036519","Lengua Castellana"
"Marta","Navarro Serrano","14799952G","610037296","Inglés"
"Álvaro","Suárez García","14899951E","610038073","Historia"
"Beatriz","Cabrera Gutiérrez","14999950V","610038850","Ciencias Naturales"
"Alejandro","Delgado Herrera","15099949N","610039627","Física y Química"
"Nuria","Pérez Cruz","15199948F","610040404","Educación Física"
"Roberto","Alonso Álvarez","15299947W","610041181","Arte"
"Sandra","Moreno Vargas","15399946C","610041958","Música"
"Pablo","Vargas Mora","15499945S","610042735","Tecnología"
"Cristina","Fuentes Alonso","15599944X","610043512","Geografía"
"Fernando","Cruz Ramos","15699943M","610044289","Filosofía"
"Patricia","Rodríguez Delgado","15799942T","610045066","Biología"
"Andrés","Gutiérrez Romero","15899941H","610045843","Química"
"Pilar","Molina Suárez","15999940J","610046620","Economía"
"Antonio","Serrano Reyes","16099939P","610047397","Matemáticas"
"María","Vázquez Díaz","16199938A","610048174","Lengua Castellana"
"José","Martínez Castro","16299937K","610048951","Inglés"
"Carmen","Fernández Muñoz","16399936Q","610049728","Historia"
"Manuel","Torres Fernández","16499935B","610050505","Ciencias Naturales"
"Ana","Castro Blanco","16599934Y","610051282","Física y Química"
"Francisco","Santos Vázquez","16699933R","610052059","Educación Física"
"Laura","Reyes Gómez","16799932L","610052836","Arte"
"David","Sánchez Molina","16899931Z","610053613","Música"
"Elena","Romero Ortega","16999930D","610054390","Tecnología"
"Pedro","Domínguez Rodríguez","17099929G","610055167","Geografía"
"Isabel","Ramos Ruiz","17199928E","610055944","Filosofía"
"Javier","Flores Fuentes","17299927V","610056721","Biología"
"Lucía","Mora González","17399926N","610057498","Química"
"Miguel","González Moreno","17499925F","610058275","Economía"
"Rosa","Álvarez Flores","17599924W","610059052","Matemáticas"
"Carlos","Ruiz Pérez","17699923C","610059829","Lengua Castellana"
"Marta","Herrera Domínguez","17799922S","610060606","Inglés"
"Álvaro","Ortega Cabrera","17899921X","610061383","Historia"
"Beatriz","García Sánchez","17999920M","610062160","Ciencias Naturales"
"Alejandro","Gómez Navarro","18099919T","610062937","Física y Química"
"Nuria","Jiménez Santos","18199918H","610063714","Educación Física"
"Roberto","Blanco López","18299917J","610064491","Arte"
"Sandra","Medina Torres","18399916P","610065268","Música"
"Pablo","Muñoz Medina","18499915A","610066045","Tecnología"
"Cristina","López Martínez","18599914K","610066822","Geografía"
"Fernando","Díaz Jiménez","18699913Q","610067599","Filosofía"
"Patricia","Navarro Serrano","18799912B","610068376","Biología"
"Andrés","Suárez García","18899911Y","610069153","Química"
"Pilar","Cabrera Gutiérrez","18999910R","610069930","Economía"
