"profesorCorreo","asignaturaNombre","cursoNombre","trimestre","tareaNombre"
"antonio-gomez-navarro@profesor.juego-02","Matematicas","1ESO-1","1","Evaluacion T1"
"antonio-gomez-navarro@profesor.juego-02","Matematicas","1ESO-1","2","Evaluacion T2"
"antonio-gomez-navarro@profesor.juego-02","Matematicas","1ESO-1","3","Evaluacion T3"
"maria-jimenez-santos@profesor.juego-02","Lengua","1ESO-1","1","Evaluacion T1"
"maria-jimenez-santos@profesor.juego-02","Lengua","1ESO-1","2","Evaluacion T2"
"maria-jimenez-santos@profesor.juego-02","Lengua","1ESO-1","3","Evaluacion T3"
"jose-blanco-lopez@profesor.juego-02","Ingles","1ESO-1","1","Evaluacion T1"
"jose-blanco-lopez@profesor.juego-02","Ingles","1ESO-1","2","Evaluacion T2"
"jose-blanco-lopez@profesor.juego-02","Ingles","1ESO-1","3","Evaluacion T3"
"carmen-medina-torres@profesor.juego-02","Fisica","1ESO-1","1","Evaluacion T1"
"carmen-medina-torres@profesor.juego-02","Fisica","1ESO-1","2","Evaluacion T2"
"carmen-medina-torres@profesor.juego-02","Fisica","1ESO-1","3","Evaluacion T3"
"manuel-munoz-medina@profesor.juego-02","Historia","1ESO-1","1","Evaluacion T1"
"manuel-munoz-medina@profesor.juego-02","Historia","1ESO-1","2","Evaluacion T2"
"manuel-munoz-medina@profesor.juego-02","Historia","1ESO-1","3","Evaluacion T3"
"ana-lopez-martinez@profesor.juego-02","Tecnologia","1ESO-1","1","Evaluacion T1"
"ana-lopez-martinez@profesor.juego-02","Tecnologia","1ESO-1","2","Evaluacion T2"
"ana-lopez-martinez@profesor.juego-02","Tecnologia","1ESO-1","3","Evaluacion T3"
"francisco-diaz-jimenez@profesor.juego-02","Matematicas","1ESO-2","1","Evaluacion T1"
"francisco-diaz-jimenez@profesor.juego-02","Matematicas","1ESO-2","2","Evaluacion T2"
"francisco-diaz-jimenez@profesor.juego-02","Matematicas","1ESO-2","3","Evaluacion T3"
"laura-navarro-serrano@profesor.juego-02","Lengua","1ESO-2","1","Evaluacion T1"
"laura-navarro-serrano@profesor.juego-02","Lengua","1ESO-2","2","Evaluacion T2"
"laura-navarro-serrano@profesor.juego-02","Lengua","1ESO-2","3","Evaluacion T3"
"david-suarez-garcia@profesor.juego-02","Ingles","1ESO-2","1","Evaluacion T1"
"david-suarez-garcia@profesor.juego-02","Ingles","1ESO-2","2","Evaluacion T2"
"david-suarez-garcia@profesor.juego-02","Ingles","1ESO-2","3","Evaluacion T3"
"elena-cabrera-gutierrez@profesor.juego-02","Fisica","1ESO-2","1","Evaluacion T1"
"elena-cabrera-gutierrez@profesor.juego-02","Fisica","1ESO-2","2","Evaluacion T2"
"elena-cabrera-gutierrez@profesor.juego-02","Fisica","1ESO-2","3","Evaluacion T3"
"pedro-delgado-herrera@profesor.juego-02","Historia","1ESO-2","1","Evaluacion T1"
"pedro-delgado-herrera@profesor.juego-02","Historia","1ESO-2","2","Evaluacion T2"
"pedro-delgado-herrera@profesor.juego-02","Historia","1ESO-2","3","Evaluacion T3"
"isabel-perez-cruz@profesor.juego-02","Tecnologia","1ESO-2","1","Evaluacion T1"
"isabel-perez-cruz@profesor.juego-02","Tecnologia","1ESO-2","2","Evaluacion T2"
"isabel-perez-cruz@profesor.juego-02","Tecnologia","1ESO-2","3","Evaluacion T3"
"javier-alonso-alvarez@profesor.juego-02","Matematicas","1ESO-3","1","Evaluacion T1"
"javier-alonso-alvarez@profesor.juego-02","Matematicas","1ESO-3","2","Evaluacion T2"
"javier-alonso-alvarez@profesor.juego-02","Matematicas","1ESO-3","3","Evaluacion T3"
"lucia-moreno-vargas@profesor.juego-02","Lengua","1ESO-3","1","Evaluacion T1"
"lucia-moreno-vargas@profesor.juego-02","Lengua","1ESO-3","2","Evaluacion T2"
"lucia-moreno-vargas@profesor.juego-02","Lengua","1ESO-3","3","Evaluacion T3"
"miguel-vargas-mora@profesor.juego-02","Ingles","1ESO-3","1","Evaluacion T1"
"miguel-vargas-mora@profesor.juego-02","Ingles","1ESO-3","2","Evaluacion T2"
"miguel-vargas-mora@profesor.juego-02","Ingles","1ESO-3","3","Evaluacion T3"
"rosa-fuentes-alonso@profesor.juego-02","Fisica","1ESO-3","1","Evaluacion T1"
"rosa-fuentes-alonso@profesor.juego-02","Fisica","1ESO-3","2","Evaluacion T2"
"rosa-fuentes-alonso@profesor.juego-02","Fisica","1ESO-3","3","Evaluacion T3"
"carlos-cruz-ramos@profesor.juego-02","Historia","1ESO-3","1","Evaluacion T1"
"carlos-cruz-ramos@profesor.juego-02","Historia","1ESO-3","2","Evaluacion T2"
"carlos-cruz-ramos@profesor.juego-02","Historia","1ESO-3","3","Evaluacion T3"
"marta-rodriguez-delgado@profesor.juego-02","Tecnologia","1ESO-3","1","Evaluacion T1"
"marta-rodriguez-delgado@profesor.juego-02","Tecnologia","1ESO-3","2","Evaluacion T2"
"marta-rodriguez-delgado@profesor.juego-02","Tecnologia","1ESO-3","3","Evaluacion T3"
"alvaro-gutierrez-romero@profesor.juego-02","Matematicas","1ESO-4","1","Evaluacion T1"
"alvaro-gutierrez-romero@profesor.juego-02","Matematicas","1ESO-4","2","Evaluacion T2"
"alvaro-gutierrez-romero@profesor.juego-02","Matematicas","1ESO-4","3","Evaluacion T3"
"beatriz-molina-suarez@profesor.juego-02","Lengua","1ESO-4","1","Evaluacion T1"
"beatriz-molina-suarez@profesor.juego-02","Lengua","1ESO-4","2","Evaluacion T2"
"beatriz-molina-suarez@profesor.juego-02","Lengua","1ESO-4","3","Evaluacion T3"
"alejandro-serrano-reyes@profesor.juego-02","Ingles","1ESO-4","1","Evaluacion T1"
"alejandro-serrano-reyes@profesor.juego-02","Ingles","1ESO-4","2","Evaluacion T2"
"alejandro-serrano-reyes@profesor.juego-02","Ingles","1ESO-4","3","Evaluacion T3"
"nuria-vazquez-diaz@profesor.juego-02","Fisica","1ESO-4","1","Evaluacion T1"
"nuria-vazquez-diaz@profesor.juego-02","Fisica","1ESO-4","2","Evaluacion T2"
"nuria-vazquez-diaz@profesor.juego-02","Fisica","1ESO-4","3","Evaluacion T3"
"roberto-martinez-castro@profesor.juego-02","Historia","1ESO-4","1","Evaluacion T1"
"roberto-martinez-castro@profesor.juego-02","Historia","1ESO-4","2","Evaluacion T2"
"roberto-martinez-castro@profesor.juego-02","Historia","1ESO-4","3","Evaluacion T3"
"sandra-fernandez-munoz@profesor.juego-02","Tecnologia","1ESO-4","1","Evaluacion T1"
"sandra-fernandez-munoz@profesor.juego-02","Tecnologia","1ESO-4","2","Evaluacion T2"
"sandra-fernandez-munoz@profesor.juego-02","Tecnologia","1ESO-4","3","Evaluacion T3"
"pablo-torres-fernandez@profesor.juego-02","Matematicas","2ESO-1","1","Evaluacion T1"
"pablo-torres-fernandez@profesor.juego-02","Matematicas","2ESO-1","2","Evaluacion T2"
"pablo-torres-fernandez@profesor.juego-02","Matematicas","2ESO-1","3","Evaluacion T3"
"cristina-castro-blanco@profesor.juego-02","Lengua","2ESO-1","1","Evaluacion T1"
"cristina-castro-blanco@profesor.juego-02","Lengua","2ESO-1","2","Evaluacion T2"
"cristina-castro-blanco@profesor.juego-02","Lengua","2ESO-1","3","Evaluacion T3"
"fernando-santos-vazquez@profesor.juego-02","Ingles","2ESO-1","1","Evaluacion T1"
"fernando-santos-vazquez@profesor.juego-02","Ingles","2ESO-1","2","Evaluacion T2"
"fernando-santos-vazquez@profesor.juego-02","Ingles","2ESO-1","3","Evaluacion T3"
"patricia-reyes-gomez@profesor.juego-02","Fisica","2ESO-1","1","Evaluacion T1"
"patricia-reyes-gomez@profesor.juego-02","Fisica","2ESO-1","2","Evaluacion T2"
"patricia-reyes-gomez@profesor.juego-02","Fisica","2ESO-1","3","Evaluacion T3"
"andres-sanchez-molina@profesor.juego-02","Historia","2ESO-1","1","Evaluacion T1"
"andres-sanchez-molina@profesor.juego-02","Historia","2ESO-1","2","Evaluacion T2"
"andres-sanchez-molina@profesor.juego-02","Historia","2ESO-1","3","Evaluacion T3"
"pilar-romero-ortega@profesor.juego-02","Tecnologia","2ESO-1","1","Evaluacion T1"
"pilar-romero-ortega@profesor.juego-02","Tecnologia","2ESO-1","2","Evaluacion T2"
"pilar-romero-ortega@profesor.juego-02","Tecnologia","2ESO-1","3","Evaluacion T3"
"antonio-dominguez-rodriguez@profesor.juego-02","Matematicas","2ESO-2","1","Evaluacion T1"
